n;t;no
1;0;0.4891
2;0.5;0.4723
3;1;0.5085
4;1.5;0.5899
5;2;0.6872
6;2.5;0.7617
7;3;0.7813
8;3.5;0.734
9;4;0.6317
10;4.5;0.504
11;5;0.3854
12;5.5;0.3022
13;6;0.2653
14;6.5;0.2717
15;7;0.3104
16;7.5;0.3692
17;8;0.4378
18;8.5;0.5057
19;9;0.5589
20;9.5;0.579
21;10;0.5475
22;10.5;0.4545
23;11;0.3075
24;11.5;0.1339
25;12;-0.0255
26;12.5;-0.1303
27;13;-0.1567
28;13.5;-0.1072
29;14;-0.0102
30;14.5;0.0918
31;15;0.1589
32;15.5;0.1686
